date,equity,cash,open_positions
2025-12-16,50694.19000000001,43619.19000000001,3
2025-12-17,50557.710000000014,45328.23000000001,2
2025-12-18,50557.710000000014,45328.23000000001,2
2025-12-19,50557.710000000014,45328.23000000001,2
2025-12-22,50557.710000000014,45328.23000000001,2
2025-12-23,50557.710000000014,45328.23000000001,2
2025-12-24,50557.710000000014,45328.23000000001,2
2025-12-26,50557.710000000014,45328.23000000001,2
2025-12-29,50557.710000000014,45328.23000000001,2
2025-12-30,50557.710000000014,45328.23000000001,2
2025-12-31,50557.710000000014,45328.23000000001,2
2026-01-02,50557.710000000014,45328.23000000001,2
2026-01-05,50557.710000000014,45328.23000000001,2
2026-01-06,50557.710000000014,45328.23000000001,2
2026-01-07,50639.59000000001,47246.35000000001,1
2026-01-08,50639.59000000001,47246.35000000001,1
2026-01-09,50639.59000000001,47246.35000000001,1
2026-01-12,50942.970000000016,50942.970000000016,0
2026-01-13,50942.970000000016,50942.970000000016,0
2026-01-14,50942.970000000016,49125.330000000016,1
2026-01-15,50954.31000000001,49136.67000000001,1
2026-01-16,50954.31000000001,49136.67000000001,1
2026-01-20,50904.26000000001,49086.62000000001,1
2026-01-21,50904.26000000001,49086.62000000001,1
2026-01-22,50904.26000000001,49086.62000000001,1
2026-01-23,50904.26000000001,49086.62000000001,1
2026-01-26,50904.26000000001,47250.70000000001,2
2026-01-27,50909.97000000001,47256.41000000001,2
2026-01-28,50916.87000000001,47263.31000000001,2
2026-01-29,50916.87000000001,47263.31000000001,2
2026-01-30,50916.87000000001,47263.31000000001,2
2026-02-02,50916.87000000001,47263.31000000001,2
2026-02-03,50916.87000000001,47263.31000000001,2
2026-02-04,50916.87000000001,45495.03000000001,3
2026-02-05,50748.11000000001,47094.55000000001,2
2026-02-06,50748.11000000001,47094.55000000001,2
2026-02-09,50748.11000000001,47094.55000000001,2
2026-02-10,50748.11000000001,47094.55000000001,2
2026-02-11,50748.11000000001,47094.55000000001,2
2026-02-12,50748.11000000001,47094.55000000001,2
2026-02-13,50748.11000000001,45377.79000000001,3
2026-02-17,50759.380000000005,45389.060000000005,3
2026-02-18,50850.560000000005,47297.880000000005,2
2026-02-19,50869.630000000005,47316.950000000004,2
2026-02-20,50869.630000000005,47316.950000000004,2
2026-02-23,50869.630000000005,47316.950000000004,2
2026-02-24,50869.630000000005,47316.950000000004,2
2026-02-25,50869.630000000005,45534.91,3
2026-02-26,50816.950000000004,47264.270000000004,2
