entry_date,symbol,short_strike,long_strike,dte,entry_credit,entry_spot,entry_vix,collateral,max_loss,regime,market_condition,exit_date,pnl,exit_reason
2025-03-25T00:00:00,SPY,536.0,531.0,35,0.46120000000000005,570.4917602539062,17.149999618530273,453.88,453.88,normal,sideways,2025-03-28T00:00:00,-101.30999999999995,stop_loss
2025-04-14T00:00:00,SPY,494.0,484.0,50,2.1636000000000006,534.4654541015625,30.889999389648438,783.64,783.64,high_vol,downtrend,2025-04-25T00:00:00,132.57000000000005,profit_target
2025-05-14T00:00:00,SPY,548.0,543.0,35,0.5805999999999998,582.5170288085938,18.6200008392334,441.94000000000005,441.94000000000005,normal,uptrend,2025-05-27T00:00:00,29.579999999999977,profit_target
2025-06-04T00:00:00,SPY,555.0,550.0,35,0.4921,590.7849731445312,17.610000610351562,450.79,450.79,normal,uptrend,2025-06-10T00:00:00,27.42,profit_target
2025-06-13T00:00:00,SPY,556.0,551.0,35,0.6966999999999999,591.8457641601562,20.81999969482422,430.33000000000004,430.33000000000004,normal,uptrend,2025-06-23T00:00:00,35.54999999999998,profit_target
2025-06-25T00:00:00,SPY,567.0,562.0,35,0.4347000000000001,603.65771484375,16.760000228881836,456.53,456.53,normal,uptrend,2025-06-30T00:00:00,26.46000000000001,profit_target
2025-07-07T00:00:00,SPY,580.0,575.0,35,0.5137,617.140380859375,17.790000915527344,448.63,448.63,normal,uptrend,2025-07-10T00:00:00,27.52,profit_target
2025-07-16T00:00:00,SPY,583.0,578.0,35,0.4639,620.66015625,17.15999984741211,453.61,453.61,normal,uptrend,2025-07-23T00:00:00,35.31999999999999,profit_target
2025-08-05T00:00:00,SPY,587.0,582.0,35,0.5235999999999998,624.3887329101562,17.850000381469727,447.64,447.64,normal,sideways,2025-08-08T00:00:00,37.01999999999999,profit_target
2025-09-04T00:00:00,SPY,607.0,602.0,35,0.36019999999999996,645.4181518554688,15.300000190734863,463.98,463.98,normal,uptrend,2025-09-11T00:00:00,24.619999999999997,profit_target
2025-09-15T00:00:00,SPY,618.0,613.0,35,0.3871000000000001,657.1409301757812,15.6899995803833,461.28999999999996,461.28999999999996,normal,uptrend,2025-09-22T00:00:00,20.490000000000013,profit_target
2025-09-24T00:00:00,SPY,620.0,615.0,35,0.4231999999999999,659.1522216796875,16.18000030517578,457.68000000000006,457.68000000000006,normal,uptrend,2025-10-01T00:00:00,22.449999999999985,profit_target
2025-10-03T00:00:00,SPY,627.0,622.0,35,0.4404999999999999,667.2384033203125,16.649999618530273,455.95,455.95,normal,uptrend,2025-10-10T00:00:00,-72.06000000000003,stop_loss
2025-10-14T00:00:00,SPY,621.0,616.0,35,0.7241,660.2789306640625,20.809999465942383,427.59000000000003,427.59000000000003,normal,sideways,2025-10-20T00:00:00,44.379999999999995,profit_target
2025-10-23T00:00:00,SPY,630.0,625.0,35,0.5,669.7808837890625,17.299999237060547,450.0,450.0,normal,choppy,2025-10-27T00:00:00,36.21,profit_target
2025-11-03T00:00:00,SPY,640.0,635.0,35,0.4707000000000001,681.3267822265625,17.170000076293945,452.93,452.93,normal,uptrend,2025-11-06T00:00:00,-49.329999999999984,stop_loss
2025-11-12T00:00:00,SPY,640.0,635.0,35,0.49239999999999995,681.3666381835938,17.510000228881836,450.76,450.76,normal,uptrend,2025-11-17T00:00:00,-77.62000000000002,stop_loss
2025-11-21T00:00:00,SPY,608.0,598.0,50,1.5169000000000001,657.08837890625,23.43000030517578,848.3100000000001,848.3100000000001,high_vol,downtrend,2025-11-25T00:00:00,109.77000000000001,profit_target
2025-12-03T00:00:00,SPY,641.0,636.0,35,0.4094,681.8751220703125,16.079999923706055,459.06,459.06,normal,sideways,2025-12-11T00:00:00,26.179999999999996,profit_target
2025-12-12T00:00:00,SPY,639.0,634.0,35,0.3862000000000001,679.7514038085938,15.739999771118164,461.37999999999994,461.37999999999994,normal,sideways,2025-12-19T00:00:00,16.02000000000001,profit_target
2026-01-14T00:00:00,SPY,649.0,644.0,35,0.45589999999999997,690.3599853515625,16.75,454.41,454.41,normal,sideways,2026-01-20T00:00:00,-50.05,stop_loss
2026-01-26T00:00:00,SPY,651.0,646.0,35,0.4102,692.72998046875,16.149999618530273,458.98,458.98,normal,sideways,2026-02-05T00:00:00,-64.25000000000001,stop_loss
2026-02-04T00:00:00,SPY,645.0,640.0,35,0.5792999999999999,686.1900024414062,18.639999389648438,442.07,442.07,normal,sideways,2026-02-09T00:00:00,30.86,profit_target
2026-02-13T00:00:00,SPY,641.0,636.0,35,0.7081,681.75,20.600000381469727,429.19,429.19,normal,sideways,2026-02-20T00:00:00,37.28999999999999,profit_target
2026-02-25T00:00:00,SPY,652.0,647.0,35,0.5448999999999999,693.1500244140625,17.93000030517578,445.51,445.51,normal,sideways,2026-02-26T00:00:00,27.244999999999997,end_of_backtest
