date,equity,cash,open_positions
2025-05-28,49875.119999999995,49575.909999999996,1
2025-05-29,49875.119999999995,49575.909999999996,1
2025-05-30,49875.119999999995,49575.909999999996,1
2025-06-02,49875.119999999995,49575.909999999996,1
2025-06-03,49875.119999999995,49575.909999999996,1
2025-06-05,49875.119999999995,49575.909999999996,1
2025-06-06,49875.119999999995,49575.909999999996,1
2025-06-09,49665.63,49665.63,0
2025-06-10,49665.63,49665.63,0
2025-06-11,49665.63,49665.63,0
2025-06-12,49665.63,49665.63,0
2025-06-13,49665.63,49665.63,0
2025-06-16,49665.63,49665.63,0
2025-06-17,49665.63,49665.63,0
2025-06-20,49665.63,49665.63,0
2025-06-23,49665.63,49665.63,0
2025-06-24,49665.63,49665.63,0
2025-06-25,49665.63,49665.63,0
2025-06-26,49665.63,49665.63,0
2025-06-27,49665.63,49665.63,0
2025-06-30,49665.63,49665.63,0
2025-07-01,49665.63,49665.63,0
2025-07-02,49665.63,49665.63,0
2025-07-07,49665.63,49665.63,0
2025-07-08,49665.63,49665.63,0
2025-07-09,49665.63,49665.63,0
2025-07-10,49665.63,49665.63,0
2025-07-11,49665.63,49665.63,0
2025-07-14,49665.63,49665.63,0
2025-07-15,49665.63,49665.63,0
2025-07-16,49665.63,49665.63,0
2025-07-17,49665.63,49665.63,0
2025-07-21,49665.63,49665.63,0
2025-07-22,49665.63,49665.63,0
2025-07-23,49665.63,49665.63,0
2025-07-24,49665.63,49665.63,0
2025-07-25,49665.63,49665.63,0
2025-07-28,49665.63,49665.63,0
2025-07-29,49665.63,49665.63,0
2025-07-30,49665.63,49665.63,0
2025-07-31,49665.63,49665.63,0
2025-08-04,49665.63,49665.63,0
2025-08-05,49665.63,49665.63,0
2025-08-06,49665.63,49665.63,0
2025-08-07,49665.63,49665.63,0
2025-08-08,49665.63,49665.63,0
2025-08-11,49665.63,49665.63,0
2025-08-12,49665.63,49665.63,0
2025-08-13,49665.63,49665.63,0
2025-08-14,49665.63,49665.63,0
2025-08-18,49665.63,49665.63,0
2025-08-19,49665.63,49665.63,0
2025-08-20,49665.63,49665.63,0
2025-08-21,49665.63,49665.63,0
2025-08-22,49665.63,49665.63,0
2025-08-25,49665.63,49665.63,0
2025-08-26,49665.63,49665.63,0
2025-08-27,49665.63,49665.63,0
2025-08-28,49665.63,49665.63,0
2025-09-02,49665.63,49665.63,0
2025-09-03,49665.63,49665.63,0
2025-09-04,49665.63,49665.63,0
2025-09-05,49665.63,49665.63,0
2025-09-08,49665.63,49665.63,0
2025-09-09,49665.63,49665.63,0
2025-09-10,49665.63,49665.63,0
2025-09-11,49665.63,49665.63,0
2025-09-12,49665.63,49665.63,0
2025-09-16,49665.63,49665.63,0
2025-09-17,49665.63,49665.63,0
2025-09-18,49665.63,49665.63,0
2025-09-19,49665.63,49665.63,0
2025-09-22,49665.63,49665.63,0
2025-09-23,49665.63,49665.63,0
2025-09-24,49665.63,49665.63,0
2025-09-25,49665.63,49665.63,0
2025-09-26,49665.63,49665.63,0
2025-09-30,49665.63,49665.63,0
2025-10-01,49665.63,49665.63,0
2025-10-02,49665.63,49665.63,0
2025-10-03,49665.63,49665.63,0
2025-10-06,49665.63,49665.63,0
2025-10-07,49665.63,49665.63,0
2025-10-08,49665.63,49665.63,0
2025-10-09,49665.63,49665.63,0
2025-10-10,49665.63,49665.63,0
2025-10-14,49665.63,49665.63,0
2025-10-15,49665.63,49665.63,0
2025-10-16,49665.63,49665.63,0
2025-10-17,49665.63,49665.63,0
2025-10-20,49665.63,49665.63,0
2025-10-21,49665.63,49665.63,0
2025-10-22,49665.63,49665.63,0
2025-10-23,49665.63,49665.63,0
2025-10-24,49665.63,49665.63,0
2025-10-28,49665.63,49665.63,0
2025-10-29,49665.63,49665.63,0
2025-10-30,49665.63,49665.63,0
2025-10-31,49665.63,49665.63,0
2025-11-03,49665.63,49665.63,0
2025-11-04,49665.63,49665.63,0
2025-11-05,49665.63,49665.63,0
2025-11-06,49665.63,49665.63,0
2025-11-07,49665.63,49665.63,0
2025-11-11,49665.63,49665.63,0
2025-11-12,49665.63,49665.63,0
2025-11-13,49665.63,49665.63,0
2025-11-14,49665.63,49665.63,0
2025-11-17,49665.63,49665.63,0
2025-11-18,49665.63,49665.63,0
2025-11-19,49665.63,49665.63,0
2025-11-20,49665.63,49665.63,0
2025-11-21,49665.63,49665.63,0
2025-11-25,49665.63,49665.63,0
2025-11-26,49665.63,49665.63,0
2025-11-28,49665.63,49665.63,0
2025-12-01,49665.63,49665.63,0
2025-12-02,49665.63,49665.63,0
2025-12-03,49665.63,49665.63,0
2025-12-04,49665.63,49665.63,0
2025-12-05,49665.63,49665.63,0
2025-12-08,49665.63,49665.63,0
2025-12-10,49665.63,49665.63,0
2025-12-11,49665.63,49665.63,0
2025-12-12,49665.63,49665.63,0
2025-12-15,49665.63,49665.63,0
2025-12-16,49665.63,49665.63,0
2025-12-17,49665.63,49665.63,0
2025-12-18,49665.63,49665.63,0
2025-12-19,49665.63,49665.63,0
2025-12-22,49665.63,49665.63,0
2025-12-24,49665.63,49665.63,0
2025-12-26,49665.63,49665.63,0
2025-12-29,49665.63,49665.63,0
2025-12-30,49665.63,49665.63,0
2025-12-31,49665.63,49665.63,0
2026-01-02,49665.63,49665.63,0
2026-01-05,49665.63,49665.63,0
2026-01-06,49665.63,49665.63,0
2026-01-07,49665.63,49665.63,0
2026-01-09,49665.63,49665.63,0
2026-01-12,49665.63,49665.63,0
2026-01-13,49665.63,49665.63,0
2026-01-14,49665.63,49665.63,0
2026-01-15,49665.63,49665.63,0
2026-01-16,49665.63,49665.63,0
2026-01-20,49665.63,49665.63,0
2026-01-21,49665.63,49665.63,0
2026-01-22,49665.63,49665.63,0
2026-01-26,49665.63,49665.63,0
2026-01-27,49665.63,49665.63,0
2026-01-28,49665.63,49665.63,0
2026-01-29,49665.63,49665.63,0
2026-01-30,49665.63,49665.63,0
2026-02-02,49665.63,49665.63,0
2026-02-03,49665.63,49665.63,0
2026-02-04,49665.63,49665.63,0
2026-02-05,49665.63,49665.63,0
2026-02-09,49665.63,49665.63,0
2026-02-10,49665.63,49665.63,0
2026-02-11,49665.63,49665.63,0
2026-02-12,49665.63,49665.63,0
2026-02-13,49665.63,49665.63,0
2026-02-17,49665.63,49665.63,0
2026-02-18,49665.63,49665.63,0
2026-02-19,49665.63,49665.63,0
2026-02-20,49665.63,49665.63,0
2026-02-24,49665.63,49665.63,0
2026-02-25,49665.63,49665.63,0
2026-02-26,49665.63,49665.63,0
