date,equity,cash,open_positions
2025-11-18,50199.26999999999,50199.26999999999,0
2025-11-19,50199.26999999999,50199.26999999999,0
2025-11-20,50199.26999999999,50199.26999999999,0
2025-11-21,50199.26999999999,49350.95999999999,1
2025-11-24,50199.26999999999,49350.95999999999,1
2025-11-25,50309.03999999999,50309.03999999999,0
2025-11-26,50309.03999999999,50309.03999999999,0
2025-11-28,50309.03999999999,50309.03999999999,0
2025-12-01,50309.03999999999,50309.03999999999,0
2025-12-02,50309.03999999999,50309.03999999999,0
2025-12-03,50309.03999999999,49849.979999999996,1
2025-12-04,50309.03999999999,49849.979999999996,1
2025-12-05,50309.03999999999,49849.979999999996,1
2025-12-08,50309.03999999999,49849.979999999996,1
2025-12-09,50309.03999999999,49849.979999999996,1
2025-12-10,50309.03999999999,49849.979999999996,1
2025-12-11,50335.219999999994,50335.219999999994,0
2025-12-12,50335.219999999994,49873.84,1
2025-12-15,50335.219999999994,49873.84,1
2025-12-16,50335.219999999994,49873.84,1
2025-12-17,50335.219999999994,49873.84,1
2025-12-18,50335.219999999994,49873.84,1
2025-12-19,50351.24,50351.24,0
2025-12-22,50351.24,50351.24,0
2025-12-23,50351.24,50351.24,0
2025-12-24,50351.24,50351.24,0
2025-12-26,50351.24,50351.24,0
2025-12-29,50351.24,50351.24,0
2025-12-30,50351.24,50351.24,0
2025-12-31,50351.24,50351.24,0
2026-01-02,50351.24,50351.24,0
2026-01-05,50351.24,50351.24,0
2026-01-06,50351.24,50351.24,0
2026-01-07,50351.24,50351.24,0
2026-01-08,50351.24,50351.24,0
2026-01-09,50351.24,50351.24,0
2026-01-12,50351.24,50351.24,0
2026-01-13,50351.24,50351.24,0
2026-01-14,50351.24,49896.829999999994,1
2026-01-15,50351.24,49896.829999999994,1
2026-01-16,50351.24,49896.829999999994,1
2026-01-20,50301.189999999995,50301.189999999995,0
2026-01-21,50301.189999999995,50301.189999999995,0
2026-01-22,50301.189999999995,50301.189999999995,0
2026-01-23,50301.189999999995,50301.189999999995,0
2026-01-26,50301.189999999995,49842.20999999999,1
2026-01-27,50301.189999999995,49842.20999999999,1
2026-01-28,50301.189999999995,49842.20999999999,1
2026-01-29,50301.189999999995,49842.20999999999,1
2026-01-30,50301.189999999995,49842.20999999999,1
2026-02-02,50301.189999999995,49842.20999999999,1
2026-02-03,50301.189999999995,49842.20999999999,1
2026-02-04,50301.189999999995,49400.13999999999,2
2026-02-05,50236.939999999995,49794.869999999995,1
2026-02-06,50236.939999999995,49794.869999999995,1
2026-02-09,50267.799999999996,50267.799999999996,0
2026-02-10,50267.799999999996,50267.799999999996,0
2026-02-11,50267.799999999996,50267.799999999996,0
2026-02-12,50267.799999999996,50267.799999999996,0
2026-02-13,50267.799999999996,49838.60999999999,1
2026-02-17,50267.799999999996,49838.60999999999,1
2026-02-18,50267.799999999996,49838.60999999999,1
2026-02-19,50267.799999999996,49838.60999999999,1
2026-02-20,50305.09,50305.09,0
2026-02-23,50305.09,50305.09,0
2026-02-24,50305.09,50305.09,0
2026-02-25,50305.09,49859.579999999994,1
2026-02-26,50305.09,49859.579999999994,1
